type;title;selectbox;selectbox;selectbox
key;;proposito;frec_viaje;financiador
label;Características del Viaje;¿Cuál es el motivo de su viaje?;¿Con que frecuencia hace este mismo viaje?;¿Quién financia el viaje?
opcion_1;;Trabajo;Al menos 1 vez a la semana;Ud. Mismo
opcion_2;;Estudio;Al menos 1 vez al mes;Un acompañante
opcion_3;;Trámites;Entre 1 o 2 veces al año;Alguien de su grupo familiar
opcion_4;;Compras;Casi nunca;Su empleador
opcion_5;;Salud;Primera vez;Otro
opcion_6;;Actividades Sociales;;
opcion_7;;Vacaciones o Turismo;;
opcion_8;;Asuntos Personales;;
opcion_9;;Otro;;
